//Scripts must contain 6 fields with a | character between them
1) messageBox containing the record to be checked
2) check type (contains, match, startsWith, endsWith, contains, startsAndEndsWith (in which case the string must also contain a # to indicate the break) or nothing)
3) value to be looked for in the messageBox
4) action to be taken (playVideo, playAudio, log)
5) Path to the data file required for the action (relative to main folder configured in #####) - paths can use either \ or / characters.

//Testing
//tb_Message1|contains|low|playAudio|Data\Audio\Flyby.wav|
tb_Message1|match|Major James Taggart, one of our most seasoned veterans...|playAudio|Data/Voice/Funeral/funwm0021.wav|
tb_Message1|match|...has fallen in battle with the Kilrathi foe.|playAudio|Data/Voice/Funeral/funwm0022.wav|
tb_Message1|match|We will all miss Paladin's friendship, his wealth of experience...|playAudio|Data/Voice/Funeral/funwm0023.wav|
tb_Message1|match|...and his tales of the first battles against the Kilrathi.|playAudio|Data/Voice/Funeral/funwm0024.wav|
tb_Message1|match|Now we say goodbye to one of the newest members of our Squadron...|playAudio|Data/Voice/Funeral/funwm0025.wav|
tb_Message1|match|...Lieutenant Todd Marshall, whom we all knew as Maniac.|playAudio|Data/Voice/Funeral/funwm0026.wav|
tb_Message1|match|His enthusiasm and confidence were models for us all...|playAudio|Data/Voice/Funeral/funwm0027.wav|
tb_Message1|match|...it is a shame to see his career end so soon, and so unfortunately.|playAudio|Data/Voice/Funeral/funwm0028.wav|
tb_Message1|match|Sadly, we must now say goodbye to Captain Joseph Khumalo.|playAudio|Data/Voice/Funeral/funwm0029.wav|
tb_Message1|match|Despite the pressures of the war we fight...|playAudio|Data/Voice/Funeral/funwm0030.wav|
tb_Message1|match|...Captain Khumalo was always unaffected by the madness around him.|playAudio|Data/Voice/Funeral/funwm0031.wav|
tb_Message1|match|He remained an island of stability for us, in a sea of insanity.|playAudio|Data/Voice/Funeral/funwm0032.wav|
tb_Message1|match|Goodbye, Spirit... I hope I can fill the gap you leave.|playAudio|Data/Voice/Player/funwm0034.wav|
tb_Message1|match|The Rec Room won't be the same without you, Hunter. Goodbye.|playAudio|Data/Voice/Player/funwm0035.wav|
tb_Message1|match|I hope someday I'll make you proud, Bossman. Goodbye.|playAudio|Data/Voice/Player/funwm0036.wav|
tb_Message1|match|So long, Iceman. I'll see that the Kilrathi pay for what they've done.|playAudio|Data/Voice/Player/funwm0037.wav|
tb_Message1|match|Au revoir, Angel. We will carry on the fight for you.|playAudio|Data/Voice/Player/funwm0038.wav|
tb_Message1|match|Goodbye, Paladin. I'll try to remember what you've taught me.|playAudio|Data/Voice/Player/funwm0039.wav|
tb_Message1|match|Goodbye, Maniac. I swear I'll get the furball that took you down.|playAudio|Data/Voice/Player/funwm0040.wav|
tb_Message1|match|Don't worry, Knight. We'll finish the job for you.|playAudio|Data/Voice/Player/funwm0041.wav|

//Halcyon Office
tb_Message1|startsAndEndsWith|#. Come in. I need to speak with you.|playAudio|Data/Voice/Office/off0001.wav|
tb_Message1|match|Yes, sir?|playAudio|Data/Voice/Player/off0002.wav|
tb_Message1|match|I've been speaking with sector command.|playAudio|Data/Voice/Office/off0003.wav|
tb_Message1|match|The brass have been reviewing your record, and I have good news...|playAudio|Data/Voice/Office/off0004.wav|
tb_Message1|match|The order came in this morning... I've been authorized to promote you.|playAudio|Data/Voice/Office/off0005.wav|
tb_Message1|startsAndEndsWith|Congratulations, 1ST LT. #. Keep up the good work.|playAudio|Data/Voice/Office/off0006.wav|
tb_Message1|startsAndEndsWith|Congratulations, CAPTAIN #. Keep up the good work.|playAudio|Data/Voice/Office/off0007.wav|
tb_Message1|startsAndEndsWith|Congratulations, MAJOR #. Keep up the good work.|playAudio|Data/Voice/Office/off0008.wav|
tb_Message1|startsAndEndsWith|Congratulations, LT. COL. #. Keep up the good work.|playAudio|Data/Voice/Office/off0009.wav|
tb_Message1|startsAndEndsWith|Congratulations, COL. #. Keep up the good work.|playAudio|Data/Voice/Office/off0010.wav|
tb_Message1|match|Thank you, sir. I'll do my best.|playAudio|Data/Voice/Player/off0011.wav|
tb_Message1|match|Glad to hear it. Now, another thing I need to speak to you about...|playAudio|Data/Voice/Office/off0012.wav|
tb_Message1|match|That ship you just bailed out of cost over a hundred million credits.|playAudio|Data/Voice/Office/off0013.wav|
tb_Message1|match|It'll be weeks or months before the Tiger's Claw receives a replacement.|playAudio|Data/Voice/Office/off0014.wav|
tb_Message1|match|I know, sir.|playAudio|Data/Voice/Player/off0015.wav|
tb_Message1|match|If you have no choice but to eject, then do it... Load|Audio|[Audio.Buffer]|48000|Data/Voice/Office/off0016.wav|
tb_Message1|match|...but don't let me catch you bailing out of a ship you could've flown home.|playAudio|Data/Voice/Office/off0017.wav|
tb_Message1|match|You're about to receive a Golden Sun for ejecting and surviving...|playAudio|Data/Voice/Office/off0018.wav|
tb_Message1|match|but you only get one of those per career.|playAudio|Data/Voice/Office/off0019.wav|
tb_Message1|match|After that, ejecting just wastes the Confederation's starfighters.|playAudio|Data/Voice/Office/off0020.wav|
tb_Message1|match|I understand, colonel. I'll keep it in mind.|playAudio|Data/Voice/Player/off0021.wav|
tb_Message1|match|I'm counting on it, 2ND LT.|playAudio|Data/Voice/Office/off0022.wav|
tb_Message1|match|I'm counting on it, 1ST LT.|playAudio|Data/Voice/Office/off0023.wav|
tb_Message1|match|I'm counting on it, CAPTAIN.|playAudio|Data/Voice/Office/off0024.wav|
tb_Message1|match|I'm counting on it, MAJOR.|playAudio|Data/Voice/Office/off0025.wav|
tb_Message1|match|I'm counting on it, LT. COL.|playAudio|Data/Voice/Office/off0026.wav|
tb_Message1|match|I'm counting on it, COL.|playAudio|Data/Voice/Office/off0027.wav|
tb_Message1|startsAndEndsWith|Just a moment, #. I have one more thing to tell you.|playAudio|Data/Voice/Office/off0028.wav|
tb_Message1|match|We'll be leaving Enyo soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0029.wav|
tb_Message1|match|We'll be leaving McAuliffe soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0030.wav|
tb_Message1|match|We'll be leaving Gateway soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0031.wav|
tb_Message1|match|We'll be leaving Gimle soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0032.wav|
tb_Message1|match|We'll be leaving Brimstone soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0033.wav|
tb_Message1|match|We'll be leaving Chengdu soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0034.wav|
tb_Message1|match|We'll be leaving Dakota soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0035.wav|
tb_Message1|match|We'll be leaving Port Hedland soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0036.wav|
tb_Message1|match|We'll be leaving Kurasawa soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0037.wav|
tb_Message1|match|We'll be leaving Rostov soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0038.wav|
tb_Message1|match|We'll be leaving Hubble's Star soon, and I need to make some personnel changes.|playAudio|Data/Voice/Office/off0039.wav|
tb_Message1|match|Effective immediately following the jump, you'll be reassigned.|playAudio|Data/Voice/Office/off0040.wav|
tb_Message1|match|You'll be flying Hornets with the Killer Bees again.|playAudio|Data/Voice/Office/off0041.wav|
tb_Message1|match|I want you in a Scimitar-class medium fighter, with Blue Devil Squadron.|playAudio|Data/Voice/Office/off0042.wav|
tb_Message1|match|I need you in Star Slayer Squadron, flying a Raptor-class heavy fighter.|playAudio|Data/Voice/Office/off0043.wav|
tb_Message1|match|I want you in one of the new Rapier-class mediums, in Black Lion Squadron.|playAudio|Data/Voice/Office/off0044.wav|
tb_Message1|match|Yes, sir! You won't be sorry!|playAudio|Data/Voice/Player/off0045.wav|
tb_Message1|match|Have I done something wrong, sir?|playAudio|Data/Voice/Player/off0046.wav|
tb_Message1|startsAndEndsWith|It's nothing personal, #. Just a simple matter of attrition.|playAudio|Data/Voice/Office/off0047.wav|
tb_Message1|match|As we lose ships and pilots from various squadrons...|playAudio|Data/Voice/Office/off0048.wav|
tb_Message1|match|...I have to shift personnel to keep the maximum number of fighters active.|playAudio|Data/Voice/Office/off0049.wav|
tb_Message1|match|I see, sir.|playAudio|Data/Voice/Player/off0050.wav|
tb_Message1|match|Good. I'm glad to hear it.|playAudio|Data/Voice/Office/off0051.wav|
tb_Message1|match|That's all, then, 2ND LT. Dismissed.|playAudio|Data/Voice/Office/off0052.wav|
tb_Message1|match|That's all, then, 1ST LT. Dismissed.|playAudio|Data/Voice/Office/off0053.wav|
tb_Message1|match|That's all, then, CAPTAIN. Dismissed.|playAudio|Data/Voice/Office/off0054.wav|
tb_Message1|match|That's all, then, MAJOR. Dismissed.|playAudio|Data/Voice/Office/off0055.wav|
tb_Message1|match|That's all, then, LT. COL. Dismissed.|playAudio|Data/Voice/Office/off0056.wav|
tb_Message1|match|That's all, then, COL. Dismissed.|playAudio|Data/Voice/Office/off0057.wav|

//Medal
tb_Message1|match|For meritorious conduct in confronting the Kilrathi enemy...|playAudio|Data/Voice/Medal/med0001.wav|
tb_Message1|match|In consideration of his valorous service to humanity...|playAudio|Data/Voice/Medal/med0002.wav|
tb_Message1|match|leading the forces of the Confederation against the Empire of Kilrah...|playAudio|Data/Voice/Medal/med0003.wav|
tb_Message1|match|taking a decisive role in the Vega Sector Campaign....|playAudio|Data/Voice/Medal/med0004.wav|
tb_Message1|match|and commanding the squadron which accomplished the pivotal victory...|playAudio|Data/Voice/Medal/med0005.wav|
tb_Message1|match|For bravely sacrificing his vessel and endangering his life...|playAudio|Data/Voice/Medal/med0006.wav|
tb_Message1|match|in combat with the Kilrathi enemy...|playAudio|Data/Voice/Medal/med0007.wav|
tb_Message1|contains|in the Enyo System|playAudio|Data/Voice/Medal/med0008.wav|
tb_Message1|contains|in the McAuliffe System|playAudio|Data/Voice/Medal/med0009.wav|
tb_Message1|contains|in the Gateway System|playAudio|Data/Voice/Medal/med0010.wav|
tb_Message1|contains|in the Gimle System|playAudio|Data/Voice/Medal/med0011.wav|
tb_Message1|contains|in the Brimstone System|playAudio|Data/Voice/Medal/med0012.wav|
tb_Message1|contains|in the Cheng-Du System|playAudio|Data/Voice/Medal/med0013.wav|
tb_Message1|contains|in the Dakota System|playAudio|Data/Voice/Medal/med0014.wav|
tb_Message1|contains|in the Port Hedland|playAudio|Data/Voice/Medal/med0015.wav|
tb_Message1|contains|in the Kurasawa System|playAudio|Data/Voice/Medal/med0016.wav|
tb_Message1|contains|in the Rostov System|playAudio|Data/Voice/Medal/med0017.wav|
tb_Message1|contains|in the Hubble's Star|playAudio|Data/Voice/Medal/med0018.wav|
tb_Message1|contains|in the Hell's Kitchen|playAudio|Data/Voice/Medal/med0019.wav|
tb_Message1|contains|in the Venice System|playAudio|Data/Voice/Medal/med0020.wav|

tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to 2ND LT. #.|playAudio|Data/Voice/Medal/med0021.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to 1ST LT. #.|playAudio|Data/Voice/Medal/med0022.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to CAPTAIN #.|playAudio|Data/Voice/Medal/med0023.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to MAJOR #.|playAudio|Data/Voice/Medal/med0024.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to LT. COL. #.|playAudio|Data/Voice/Medal/med0025.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Bronze Star to COL. #.|playAudio|Data/Voice/Medal/med0026.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to 2ND LT. #.|playAudio|Data/Voice/Medal/med0027.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to 1ST LT. #.|playAudio|Data/Voice/Medal/med0028.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to CAPTAIN #.|playAudio|Data/Voice/Medal/med0029.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to MAJOR #.|playAudio|Data/Voice/Medal/med0030.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to LT. COL. #.|playAudio|Data/Voice/Medal/med0031.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Silver Star to COL. #.|playAudio|Data/Voice/Medal/med0032.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to 2ND LT. #.|playAudio|Data/Voice/Medal/med0033.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to 1ST LT. #.|playAudio|Data/Voice/Medal/med0034.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to CAPTAIN #.|playAudio|Data/Voice/Medal/med0035.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to MAJOR #.|playAudio|Data/Voice/Medal/med0036.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to LT. COL. #.|playAudio|Data/Voice/Medal/med0037.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Gold Star to COL. #.|playAudio|Data/Voice/Medal/med0038.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to 2ND LT. #.|playAudio|Data/Voice/Medal/med0039.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to 1ST LT. #.|playAudio|Data/Voice/Medal/med0040.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to CAPTAIN #.|playAudio|Data/Voice/Medal/med0041.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to MAJOR #.|playAudio|Data/Voice/Medal/med0042.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to LT. COL. #.|playAudio|Data/Voice/Medal/med0043.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Golden Sun to COL. #.|playAudio|Data/Voice/Medal/med0044.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to 2ND LT. #.|playAudio|Data/Voice/Medal/med0045.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to 1ST LT. #.|playAudio|Data/Voice/Medal/med0046.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to CAPTAIN #.|playAudio|Data/Voice/Medal/med0047.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to MAJOR #.|playAudio|Data/Voice/Medal/med0048.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to LT. COL. #.|playAudio|Data/Voice/Medal/med0049.wav|
tb_Message1|startsAndEndsWith|the Terran Confederation is proud to present the Terran Confederation Medal of Honor to COL. #.|playAudio|Data/Voice/Medal/med0050.wav|

tb_Message1|match|Your courage is exemplary of the Confederation's finest defenders.|playAudio|Data/Voice/Medal/med0051.wav|
tb_Message1|match|History shall number you among the greatest heroes of humanity.|playAudio|Data/Voice/Medal/med0054.wav|
tb_Message1|match|Your devotion to the Confederation honors all humanity.|playAudio|Data/Voice/Medal/med0055.wav|
tb_Message1|startsAndEndsWith|Good job, #. Congratulations.|playAudio|Data/Voice/Medal/med0056.wav|
tb_Message1|match|Thank you, sir.|playAudio|Data/Voice/Player/med0057.wav|
tb_Message1|match|Filled with pride, you meet the applause of your fellows.|playAudio|Data/Voice/Narrator/med0058.wav|

//Briefing
tb_Message1|match|We've got a lot of work to do, people, so let's get to it.|playAudio|Data/Voice/Briefing/bri0001.wav|
tb_Message1|match|The Tiger's Claw dropped from jumpspace seven hours ago, at 08:00.|playAudio|Data/Voice/Briefing/bri0002.wav|
tb_Message1|match|Blue Devil squadron had first patrol. You Killer Bees have the next shift.|playAudio|Data/Voice/Briefing/bri0003.wav|
tb_Message1|match|You rookies'll be flying with experienced pilots on your first missions.|playAudio|Data/Voice/Briefing/bri0004.wav|
tb_Message1|match|I want the rookies to fly as wingleaders.\nYou vets keep an eye on the kids out there.|playAudio|Data/Voice/Briefing/bri0005.wav|
tb_Message1|match|Here are the assignments.|playAudio|Data/Voice/Briefing/bri0006.wav|
tb_Message1|startsAndEndsWith|#, you're leading Alpha wing.|playAudio|Data/Voice/Briefing/bri0007.wav|
tb_Message1|match|Spirit will fly on your wing. She's quiet, but she knows the ropes.|playAudio|Data/Voice/Briefing/bri0008.wav|
tb_Message1|match|You're the wingleader, but if Spirit talks, you be sure and listen. Got it?|playAudio|Data/Voice/Briefing/bri0009.wav|
tb_Message1|match|Yes, sir.|playAudio|Data/Voice/Player/bri0010.wav|
tb_Message1|match|Good. Here's your patrol plan, then.|playAudio|Data/Voice/Briefing/bri0011.wav|
tb_Message1|match|Computer, display Alpha.|playAudio|Data/Voice/Briefing/bri0012.wav|
tb_Message1|match|You'll check three possible jump points, at about 20,000 klicks out.|playAudio|Data/Voice/Briefing/bri0013.wav|
tb_Message1|match|There are asteroids near Nav Points 2 and 3, so stay on course.|playAudio|Data/Voice/Briefing/bri0014.wav|
tb_Message1|match|Any questions?|playAudio|Data/Voice/Briefing/bri0015.wav|
tb_Message1|match|Yes, commander. What are we to do if we encounter the enemy?|playAudio|Data/Voice/Spirit/bri0016.wav|
tb_Message1|startsAndEndsWith|Engage, if the odds look good. Let # make the call.|playAudio|Data/Voice/Briefing/bri0017.wav|
tb_Message1|match|Next is Beta wing...|playAudio|Data/Voice/Briefing/bri0018.wav|
tb_Message1|match|Your thoughts wander as the commander makes the rest of the assignments.|playAudio|Data/Voice/Narrator/bri0019.wav|
tb_Message1|match|...and back to the Tiger's Claw.|playAudio|Data/Voice/Briefing/bri0020.wav|
tb_Message1|match|Remember ... this is no trainsim. If you see the enemy, he'll be out to kill you.|playAudio|Data/Voice/Briefing/bri0021.wav|
tb_Message1|match|Be sure you do it to him before he does it to you.|playAudio|Data/Voice/Briefing/bri0022.wav|
tb_Message1|match|Squadron dismissed.|playAudio|Data/Voice/Briefing/bri0023.wav|

tb_Message1|startsAndEndsWith|Epsilon Wing is # and Spirit.|playAudio|Data/Voice/Briefing/bri0028.wav|
tb_Message1|startsAndEndsWith|Epsilon Wing is you, #. We're short on manpower, so you'll be flying solo.|playAudio|Data/Voice/Briefing/bri0029.wav|
tb_Message1|match|You'll be escorting a Drayman-class transport to its jumppoint.|playAudio|Data/Voice/Briefing/bri0030.wav|
tb_Message1|match|Computer, display Epsilon.|playAudio|Data/Voice/Briefing/bri0031.wav|
tb_Message1|match|Let's take a look at your flight plan.|playAudio|Data/Voice/Briefing/bri0032.wav|
tb_Message1|match|You'll rendezvous with the transport upon launch.|playAudio|Data/Voice/Briefing/bri0033.wav|
tb_Message1|match|Escort it to Nav Point 1...|playAudio|Data/Voice/Briefing/bri0034.wav|
tb_Message1|match|...and on to Nav 2, where it will initiate jump sequence.|playAudio|Data/Voice/Briefing/bri0035.wav|
tb_Message1|match|Once its jumped out, you'll return by the most direct route.|playAudio|Data/Voice/Briefing/bri0036.wav|
tb_Message1|match|Remember...your job is to make sure that transport jumps out.|playAudio|Data/Voice/Briefing/bri0037.wav|
tb_Message1|match|I don't want you leaving her to chase down bogies.|playAudio|Data/Voice/Briefing/bri0038.wav|
tb_Message1|match|If the enemy retreats, you stay with the transport.|playAudio|Data/Voice/Briefing/bri0039.wav|
tb_Message1|match|Questions?|playAudio|Data/Voice/Briefing/bri0040.wav|
tb_Message1|match|Yes, sir. Why is Nav 1 so far out of the way?|playAudio|Data/Voice/Player/bri0041.wav|
tb_Message1|match|Yes, sir.. Why is Nav 1 so far out of the way?|playAudio|Data/Voice/Spirit/bri0042.wav|
tb_Message1|match|There's an asteroid field between the Tiger's Claw and the jumppoint.|playAudio|Data/Voice/Briefing/bri0043.wav|
tb_Message1|match|A fighter might navigate it, but a Drayman 'sport would never make it through.|playAudio|Data/Voice/Briefing/bri0044.wav|
tb_Message1|match|Anything else?|playAudio|Data/Voice/Briefing/bri0045.wav|
tb_Message1|match|All right, then. Let's get to work.|playAudio|Data/Voice/Briefing/bri0046.wav|
tb_Message1|match|Squadron dismissed.|playAudio|Data/Voice/Briefing/bri0047.wav|

tb_Message1|startsAndEndsWith|Alright, then. Beta wing will be led by #.|
tb_Message1|match|Well, boys and girls, things are getting ready to heat up.|
tb_Message1|match|We're going to be leaving McAuliffe late tomorrow...|

tb_Message1|startsAndEndsWith|Alright, then. Beta wing will be led by #.|playAudio|Data/Voice/Briefing/bri0052.wav|
tb_Message1|match|Paladin, you'll be flying on his wing.|playAudio|Data/Voice/Briefing/bri0053.wav|
tb_Message1|match|An' I canna tell you 'ow I'm lookin' forward to it, Colonel.|playAudio|Data/Voice/Paladin/bri0054.wav|
tb_Message1|match|Right.|playAudio|Data/Voice/Briefing/bri0055.wav|
tb_Message1|match|Since we jumped into the McAuliffe system just a few hours ago...|playAudio|Data/Voice/Briefing/bri0056.wav|
tb_Message1|match|...we're still running preliminary patrols.|playAudio|Data/Voice/Briefing/bri0057.wav|
tb_Message1|startsAndEndsWith|#, you'll be flying a four-point route, checking several potential jump points.|playAudio|Data/Voice/Briefing/bri0058.wav|
tb_Message1|match|Here's your flight plan...|playAudio|Data/Voice/Briefing/bri0059.wav|
tb_Message1|match|Just fly to the Nav Points, and make sure they're clear.|playAudio|Data/Voice/Briefing/bri0060.wav|
tb_Message1|match|Long-range scanners indicate some sort of debris near Nav 3...|playAudio|Data/Voice/Briefing/bri0061.wav|
tb_Message1|match|We have reason to believe this might be a Kilrathi mine field...|playAudio|Data/Voice/Briefing/bri0062.wav|
tb_Message1|match|...so be especially careful in that area.|playAudio|Data/Voice/Briefing/bri0063.wav|
tb_Message1|match|Questions?|playAudio|Data/Voice/Briefing/bri0064.wav|
tb_Message1|match|Alright, then. Delta wing is Iceman and Angel...|playAudio|Data/Voice/Briefing/bri0065.wav|
tb_Message1|match|You listen as the colonel completes the mission assignments.|playAudio|Data/Voice/Narrator/bri0066.wav|
